,지역명,연도,월,분양가격(㎡)
244,대전,2016,12,2685
245,울산,2016,12,3260
246,세종,2016,12,2705
247,강원,2016,12,2087
248,충북,2016,12,2081
249,충남,2016,12,2274
250,전북,2016,12,2004
251,전남,2016,12,2078
252,경북,2016,12,2311
253,경남,2016,12,2388
254,제주,2016,12,3132
255,서울,2017,1,6450
256,인천,2017,1,3132
257,경기,2017,1,3554
258,부산,2017,1,3244
259,대구,2017,1,3121
260,광주,2017,1,2778
261,대전,2017,1,2685
262,울산,2017,1,3260
263,세종,2017,1,2705
264,강원,2017,1,2085
265,충북,2017,1,2105
266,충남,2017,1,2235
267,전북,2017,1,2006
268,전남,2017,1,2078
269,경북,2017,1,2312
270,경남,2017,1,2390
271,제주,2017,1,3124
272,서울,2017,2,6464
273,인천,2017,2,3167
274,경기,2017,2,3607
275,부산,2017,2,3243
276,대구,2017,2,3158
277,광주,2017,2,2778
278,대전,2017,2,2721
279,울산,2017,2,3263
280,세종,2017,2,2705
281,강원,2017,2,2090
282,충북,2017,2,2044
283,충남,2017,2,2236
284,전북,2017,2,2009
285,전남,2017,2,2093
286,경북,2017,2,2307
287,경남,2017,2,2384
288,제주,2017,2,3134
289,서울,2017,3,6370
290,인천,2017,3,3179
291,경기,2017,3,3632
292,부산,2017,3,3290
293,대구,2017,3,3200
294,광주,2017,3,2783
295,대전,2017,3,2721
296,울산,2017,3,3263
297,세종,2017,3,2705
298,강원,2017,3,2068
299,충북,2017,3,1976
300,충남,2017,3,2237
301,전북,2017,3,2044
302,전남,2017,3,2090
303,경북,2017,3,2291
304,경남,2017,3,2407
305,제주,2017,3,3097
306,서울,2017,4,6366
307,인천,2017,4,3179
308,경기,2017,4,3604
309,부산,2017,4,3289
310,대구,2017,4,3179
311,광주,2017,4,2854
312,대전,2017,4,2739
313,울산,2017,4,3578
314,세종,2017,4,2729
315,강원,2017,4,2068
316,충북,2017,4,2040
317,충남,2017,4,2221
318,전북,2017,4,2105
319,전남,2017,4,2106
320,경북,2017,4,2318
321,경남,2017,4,2401
322,제주,2017,4,3323
323,서울,2017,5,6400
324,인천,2017,5,3291
325,경기,2017,5,3474
326,부산,2017,5,3549
327,대구,2017,5,3179
328,광주,2017,5,2890
329,대전,2017,5,2739
330,울산,2017,5,3578
331,세종,2017,5,2729
332,강원,2017,5,2084
333,충북,2017,5,2050
334,충남,2017,5,2222
335,전북,2017,5,2130
336,전남,2017,5,2165
337,경북,2017,5,2363
338,경남,2017,5,2418
339,제주,2017,5,3459
340,서울,2017,6,6667
341,인천,2017,6,3326
342,경기,2017,6,3489
343,부산,2017,6,3616
344,대구,2017,6,3246
345,광주,2017,6,2912
346,대전,2017,6,2739
347,울산,2017,6,3582
348,세종,2017,6,2733
349,강원,2017,6,2131
350,충북,2017,6,2043
351,충남,2017,6,2274
352,전북,2017,6,2201
353,전남,2017,6,2147
354,경북,2017,6,2383
355,경남,2017,6,2444
356,제주,2017,6,3274
357,서울,2017,7,6573
358,인천,2017,7,3322
359,경기,2017,7,3629
360,부산,2017,7,3614
361,대구,2017,7,3870
362,광주,2017,7,2894
363,대전,2017,7,2738
364,울산,2017,7,3582
365,세종,2017,7,2733
366,강원,2017,7,2146
367,충북,2017,7,2043
368,충남,2017,7,2275
369,전북,2017,7,2195
370,전남,2017,7,2147
371,경북,2017,7,2382
372,경남,2017,7,2465
373,제주,2017,7,3335
374,서울,2017,8,6172
375,인천,2017,8,3273
376,경기,2017,8,3641
377,부산,2017,8,3589
378,대구,2017,8,3994
379,광주,2017,8,2903
380,대전,2017,8,2738
381,울산,2017,8,3582
382,세종,2017,8,2734
383,강원,2017,8,2268
384,충북,2017,8,2050
385,충남,2017,8,2257
386,전북,2017,8,2209
387,전남,2017,8,2214
388,경북,2017,8,2441
389,경남,2017,8,2515
390,제주,2017,8,3335
391,서울,2017,9,6507
392,인천,2017,9,3302
393,경기,2017,9,3628
394,부산,2017,9,3594
395,대구,2017,9,3839
396,광주,2017,9,2945
397,대전,2017,9,2894
398,울산,2017,9,3582
399,세종,2017,9,2758
400,강원,2017,9,2235
401,충북,2017,9,2054
402,충남,2017,9,2257
403,전북,2017,9,2219
404,전남,2017,9,2214
405,경북,2017,9,2429
406,경남,2017,9,2510
407,제주,2017,9,3222
408,서울,2017,10,6578
409,인천,2017,10,3300
410,경기,2017,10,3625
411,부산,2017,10,3723
412,대구,2017,10,3839
413,광주,2017,10,2912
414,대전,2017,10,2729
415,울산,2017,10,3385
416,세종,2017,10,2759
417,강원,2017,10,2279
418,충북,2017,10,2060
419,충남,2017,10,2283
420,전북,2017,10,2182
421,전남,2017,10,2305
422,경북,2017,10,2367
423,경남,2017,10,2436
424,제주,2017,10,3222
425,서울,2017,11,"6,657"
426,인천,2017,11,"3,300"
427,경기,2017,11,"3,557"
428,부산,2017,11,"3,820"
429,대구,2017,11,"3,658"
430,광주,2017,11,"2,895"
431,대전,2017,11,"2,782"
432,울산,2017,11,"3,374"
433,세종,2017,11,"2,760"
434,강원,2017,11,"2,319"
435,충북,2017,11,"2,077"
436,충남,2017,11,"2,258"
437,전북,2017,11,"2,200"
438,전남,2017,11,"2,389"
439,경북,2017,11,"2,390"
440,경남,2017,11,"2,621"
441,제주,2017,11,"3,560"
442,서울,2017,12,6706
443,인천,2017,12,3318
444,경기,2017,12,3617
445,부산,2017,12,3842
446,대구,2017,12,3561
447,광주,2017,12,2896
448,대전,2017,12,2706
449,울산,2017,12,3162
450,세종,2017,12,3161
451,강원,2017,12,2302
452,충북,2017,12,2077
453,충남,2017,12,2357
454,전북,2017,12,2226
455,전남,2017,12,2400
